Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2018,Chelsey Brodt Rosenthal,MIN,D,22207016,2018-10-21,MET,MIN,0,1,1,2,1,1.3900000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Emma Stauber,MIN,F,22207016,2018-10-21,MET,MIN,0,0,1,1,0,0.47,0,0,0,NA,0,0,0,0,0,0,0,0,2,3,0,0,0
2018,Erika  Lawler,MET,F,22207016,2018-10-21,MET,MIN,0,0,1,1,0,0.4,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,0,0,0
2018,Fiona  McKenna,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.22999999999999998,1,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Hannah  Brandt,MIN,F,22207016,2018-10-21,MET,MIN,1,0,0,1,1,2.04,4,0,0,NA,0,0,0,0,0,0,12,7,0,0,0,0,0
2018,Haylea Schmid,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,-0.07,2,0,0,NA,0,0,0,0,0,0,4,5,2,0,0,0,0
2018,Jenny Ryan,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jonna  Curtis,MIN,F,22207016,2018-10-21,MET,MIN,1,2,0,3,3,2.72,4,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,Kate Schipper,MIN,F,22207016,2018-10-21,MET,MIN,0,0,1,1,0,0.97,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Katie  Fitzgerald,MET,G,22207016,2018-10-21,MET,MIN,0,0,0,0,0,-3.4799999999999995,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,18,6
2018,Katie McGovern,MIN,F,22207016,2018-10-21,MET,MIN,2,1,0,3,3,3.3200000000000003,4,0,0,NA,0,0,0,0,0,0,10,8,0,1,0,0,0
2018,Kiira Dosdall,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0
