Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2016,MET,5,5,Tatiana Rafter,Rebecca Russo
2016,MET,4,5,Madison Packer,Courtney Burke
2016,MET,4,5,Madison Packer,Courtney Burke
2016,MET,5,5,Janine Weber,Miye D'Oench
2016,CTW,5,5,Cydney Roesler,Kelli Stack
2016,MET,5,5,Madison Packer,Alexa Gruschow
2016,MET,5,5,Janine Weber,Miye D'Oench
2016,CTW,5,4,Sam Faber,Nicole Kosta
2016,CTW,5,5,Zoe Hickel,Nicole Connery
2016,CTW,5,5,Kelly Babstock,Meagan Mangene
2016,CTW,5,5,Kelli Stack,Nicole Connery
2016,CTW,5,5,Zoe Hickel,Kaliya Johnson
2016,MET,4,5,Janine Weber,Amanda Kessel
2016,CTW,5,5,Kelli Stack,Haley Skarupa
2016,MET,5,4,Madison Packer,Amanda Kessel
2016,MET,5,5,Janine Weber,Amanda Kessel
2016,MET,5,5,Michelle Picard,Rebecca Russo
2016,MET,5,4,Miye D'Oench,Kaleigh Fratkin
2016,MET,5,5,Courtney Burke,Amanda Kessel
2017,MET,4,5,Harrison Browne,NA
2017,MET,5,5,Miye D'Oench,Kelsey  Koelzer
2017,MET,5,5,Alexa Gruschow,Miye D'Oench
2017,BOS,5,5,Meagan Mangene,Heather  Schwarz
2017,MET,5,6,Rebecca Russo,NA
2017,BOS,5,4,Heather  Schwarz,Meagan Mangene
2017,CTW,4,5,Jamie Goldsmith,Shannon Doyle
2017,CTW,5,5,Emily Fluke,Kelly Babstock
2017,BUF,5,5,Kaylyn  Schroka,Kristin Lewicki
2017,BUF,5,4,Taylor Accursi,Corinne Buie
2017,BUF,5,5,Maddie  Elia,Kourtney Kunichika
2017,BUF,5,5,Corinne Buie,Hayley  Scamurra
2017,BOS,5,5,Haley Skarupa,Janine Weber
2017,BUF,5,5,Taylor Accursi,Kourtney Kunichika
2017,BOS,5,5,Jillian Dempsey,Alyssa Gagliardi
2017,BOS,5,5,Mary Parker,Paige Harrington
2017,BOS,4,5,Jillian Dempsey,Alyssa Gagliardi
