Season,game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,
2018,22207012,13/10/18,BOS,MET,1,1,51,2,8,52,1868,37,Shot,BOS,Haley Skarupa,Katie  Fitzgerald,NA,NA,-59.0832,-4.25,5,5,8.085374309,30.21717098,-59.0832,-4.25,59.0832,4.25,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,52,2,8,21,1899,31,Shot,MET,Madison Packer,Katie Burt,NA,NA,61.4988,-27.982,5,5,45.49649482,39.23402,61.4988,-27.982,61.4988,-27.982,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,53,2,8,6,1914,15,Penalty,BOS,McKenna  Brand,McKenna  Brand,NA,2 Boarding Minor,72.7848,36.482,5,5,66.03622872,39.92328938,72.7848,36.482,72.7848,36.482,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,54,2,8,6,1914,0,Faceoff,BOS,Jillian Dempsey,Madison Packer,NA,NA,65.1222,19.125,5,5,38.69309373,30.59272721,65.1222,19.125,65.1222,19.125,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,55,2,6,8,2032,118,Shot,MET,Alexa Gruschow,Katie Burt,NA,NA,71.181,-9.2055,4,5,27.3213956,20.05637034,71.181,-9.2055,71.181,-9.2055,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,56,2,5,13,2087,55,Faceoff,MET,Kristin Lewicki,Jillian Dempsey,NA,NA,-66.33,20.1875,5,5,41.68487401,30.35562643,-66.33,20.1875,66.33,-20.1875,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,57,2,5,0,2100,13,Shot,MET,Rebecca Russo,Katie Burt,NA,NA,60.291,-38.25,5,5,53.10949641,47.82540309,60.291,-38.25,60.291,-38.25,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,58,2,5,0,2100,0,Faceoff,MET,Rebecca Russo,Dana Trivigno,NA,NA,66.33,-20.5445,5,5,42.18418312,30.59420501,66.33,-20.5445,66.33,-20.5445,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,59,2,4,28,2132,32,Penalty,MET,Amanda Kessel,NA,NA,2 Interference Minor,-23.9976,-18.0625,5,5,15.52924798,67.46529413,-23.9976,-18.0625,23.9976,18.0625,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,60,2,4,28,2132,0,Faceoff,MET,Alexa Gruschow,McKenna  Brand,NA,NA,-68.3496,-19.125,5,5,42.80376382,28.1461302,-68.3496,-19.125,68.3496,19.125,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
